# Magic number=05072024, 05 July 2024, PCS
# Single electron capture cross sections, n state-selective
# Fe^25+ + H -> Fe^24+ + H^+
# Method=MCLZ
# P. C. Stancil et al. 2024, to be submitted
# ----------------------------------------------------------------------------
# Energy		Cross sections (10^-16 cm^2)
# (eV/u)       	n=20          	n=19          	n=18          	n=17          	n=16          	n=15          	n=14          	n=13          	n=12          	n=11          	n=10          	n=9           	n=8           	n=7           	n=6           	n=5           	n=4           	n=3           	n=2           	Total
4.428e-03	1.7903719e+03	1.7997067e-10	2.7319940e-23	3.8478413e-36	7.4346243e-49	2.6074926e-61	2.1694963e-73	5.9628708e-85	7.9864790e-96	8.0031791e-106	9.2445380e-115	1.8188246e-122	7.8645165e-129	8.1734965e-134	1.8230275e-137	2.3788881e-140	8.2384948e-142	9.8991476e-143	2.2528633e-143	1.7903719e+03
4.661e-03	1.7008573e+03	1.7107309e-10	2.5982799e-23	3.6612378e-36	7.0769994e-49	2.4829426e-61	2.0664768e-73	5.6810743e-85	7.6104595e-96	7.6328825e-106	8.8163439e-115	1.7345297e-122	7.4998953e-129	7.7944538e-134	1.7386151e-137	2.2687163e-140	7.8576831e-142	9.4366299e-143	2.1476031e-143	1.7008573e+03
4.907e-03	1.6702328e+03	1.6603378e-10	2.5029186e-23	3.5106292e-36	6.7681201e-49	2.3712367e-61	1.9720907e-73	5.4197084e-85	7.2591839e-96	7.2800856e-106	8.4086193e-115	1.6542940e-122	7.1529135e-129	7.4314815e-134	1.6582745e-137	2.1637702e-140	7.4951166e-142	9.0020551e-143	2.0487008e-143	1.6702328e+03
5.165e-03	1.6392353e+03	1.6103308e-10	2.4095564e-23	3.3646046e-36	6.4706413e-49	2.2641337e-61	1.8818585e-73	5.1703183e-85	6.9244137e-96	6.9441309e-106	8.0205567e-115	1.5779525e-122	6.8209538e-129	7.0889739e-134	1.5818397e-137	2.0635299e-140	7.1500239e-142	8.5883160e-143	1.9545407e-143	1.6392353e+03
5.437e-03	1.6079354e+03	1.5608011e-10	2.3183062e-23	3.2232322e-36	6.1844932e-49	2.1615460e-61	1.7956659e-73	4.9325076e-85	6.6055408e-96	6.6243559e-106	7.6489439e-115	1.5049534e-122	6.5074956e-129	6.7632053e-134	1.5087859e-137	1.9688041e-140	6.8199238e-142	8.1945917e-143	1.8642920e-143	1.6079354e+03
5.723e-03	1.5275493e+03	1.4838453e-10	2.2054122e-23	3.0680442e-36	5.8897115e-49	2.0594087e-61	1.7114357e-73	4.7025098e-85	6.2989622e-96	6.3179703e-106	7.2983295e-115	1.4359991e-122	6.2094159e-129	6.4534526e-134	1.4397541e-137	1.8787213e-140	6.5082286e-142	7.8178750e-143	1.7792024e-143	1.5275493e+03
6.025e-03	1.4975923e+03	1.4373486e-10	2.1208616e-23	2.9382513e-36	5.6286150e-49	1.9661754e-61	1.6333014e-73	4.4872794e-85	6.0106609e-96	6.0290410e-106	6.9648741e-115	1.3704359e-122	5.9260400e-129	6.1580060e-134	1.3741227e-137	1.7930381e-140	6.2118266e-142	7.4622302e-143	1.6982639e-143	1.4975923e+03
6.342e-03	1.4674712e+03	1.3914560e-10	2.0384800e-23	2.8129286e-36	5.3780131e-49	1.8770287e-61	1.5587684e-73	4.2822690e-85	5.7362981e-96	5.7542362e-106	6.6478325e-115	1.3081138e-122	5.6567092e-129	5.8784164e-134	1.3117406e-137	1.7116488e-140	5.9300293e-142	7.1240518e-143	1.6213006e-143	1.4674712e+03
6.676e-03	1.4372424e+03	1.3462321e-10	1.9583267e-23	2.6920690e-36	5.1377191e-49	1.7918542e-61	1.4877124e-73	4.0870828e-85	5.4752960e-96	5.4929452e-106	6.3464761e-115	1.2488864e-122	5.4001650e-129	5.6127184e-134	1.2524608e-137	1.6341411e-140	5.6614329e-142	6.8025797e-143	1.5481395e-143	1.4372424e+03
7.027e-03	1.4069588e+03	1.3017348e-10	1.8804472e-23	2.5756463e-36	4.9075172e-49	1.7105315e-61	1.4200068e-73	3.9013258e-85	5.2270846e-96	5.2445706e-106	6.0600960e-115	1.1924843e-122	5.1571744e-129	5.3602757e-134	1.1960254e-137	1.5607028e-140	5.4071737e-142	6.4961358e-143	1.4783988e-143	1.4069588e+03
7.397e-03	1.3766700e+03	1.2580153e-10	1.8048744e-23	2.4636177e-36	4.6871679e-49	1.6329353e-61	1.3555244e-73	3.7246069e-85	4.9911058e-96	5.0085312e-106	5.7873789e-115	1.1390567e-122	4.9263365e-129	5.1204736e-134	1.1425558e-137	1.4909372e-140	5.1655961e-142	6.2060914e-143	1.4123901e-143	1.3766700e+03
7.787e-03	1.3078577e+03	1.1963173e-10	1.7178517e-23	2.3466745e-36	4.4677460e-49	1.5574078e-61	1.2934626e-73	3.5554892e-85	4.7659537e-96	4.7836901e-106	5.5290635e-115	1.0883059e-122	4.7070843e-129	4.8927195e-134	1.0917688e-137	1.4246604e-140	4.9361174e-142	5.9305336e-143	1.3496784e-143	1.3078577e+03
8.197e-03	1.2791246e+03	1.1555883e-10	1.6483044e-23	2.2444123e-36	4.2676144e-49	1.4871424e-61	1.2351757e-73	3.3959200e-85	4.5530145e-96	4.5707831e-106	5.2837014e-115	1.0401066e-122	4.4988722e-129	4.6762101e-134	1.0435385e-137	1.3617370e-140	4.7181681e-142	5.6687978e-143	1.2901123e-143	1.2791246e+03
8.628e-03	1.2504718e+03	1.1156783e-10	1.5809779e-23	2.1462020e-36	4.0763367e-49	1.4201727e-61	1.1797114e-73	3.2442177e-85	4.3506839e-96	4.3685496e-106	5.0506865e-115	9.9433851e-123	4.3011769e-129	4.4709272e-134	9.9774428e-138	1.3019920e-140	4.5112229e-142	5.4202424e-143	1.2335458e-143	1.2504718e+03
9.083e-03	1.2219380e+03	1.0766197e-10	1.5158730e-23	2.0519664e-36	3.8936427e-49	1.3563751e-61	1.1269519e-73	3.1000347e-85	4.1584767e-96	4.1764919e-106	4.8294372e-115	9.5088619e-123	4.1134973e-129	4.2760404e-134	9.5427019e-138	1.2452370e-140	4.3145689e-142	5.1842504e-143	1.1797732e-143	1.2219380e+03
9.561e-03	1.1935588e+03	1.0384399e-10	1.4529828e-23	1.9616202e-36	3.7192542e-49	1.2956263e-61	1.0767816e-73	2.9630329e-85	3.9759253e-96	3.9941326e-106	4.6193955e-115	9.0963929e-123	3.9352501e-129	4.0910542e-134	9.1300562e-138	1.1914121e-140	4.1281248e-142	4.9600150e-143	1.1288071e-143	1.1935588e+03
1.006e-02	1.1653673e+03	1.0011615e-10	1.3922924e-23	1.8750703e-36	3.5528883e-49	1.2378041e-61	1.0290878e-73	2.8328858e-85	3.8025795e-96	3.8210133e-106	4.4200282e-115	8.7049241e-123	3.7662144e-129	3.9154957e-134	8.7382601e-138	1.1403297e-140	3.9511716e-142	4.7474540e-143	1.0804324e-143	1.1653673e+03
1.059e-02	1.1373942e+03	9.6480299e-11	1.3337808e-23	1.7922180e-36	3.3942592e-49	1.1827880e-61	9.8376091e-74	2.7092780e-85	3.6380077e-96	3.6566958e-106	4.2308261e-115	8.3334501e-123	3.6058161e-129	3.7489137e-134	8.3667328e-138	1.0918590e-140	3.7832587e-142	4.5457418e-143	1.0345266e-143	1.1373942e+03
1.115e-02	1.1096676e+03	9.2937889e-11	1.2774207e-23	1.7129599e-36	3.2430809e-49	1.1304600e-61	9.4069476e-74	2.5919065e-85	3.4817959e-96	3.5007618e-106	4.0513034e-115	7.9808942e-123	3.4536421e-129	3.5908786e-134	8.0142634e-138	1.0458752e-140	3.6239560e-142	4.3543651e-143	9.9097306e-144	1.1096676e+03
1.174e-02	1.0822135e+03	8.9489986e-11	1.2231800e-23	1.6371891e-36	3.0990687e-49	1.0807047e-61	8.9978676e-74	2.4804803e-85	3.3335490e-96	3.3528118e-106	3.8809977e-115	7.6466149e-123	3.3092994e-129	3.4409815e-134	7.6799429e-138	1.0022581e-140	3.4728539e-142	4.1728339e-143	9.4966017e-144	1.0822135e+03
1.236e-02	1.0550557e+03	8.6137315e-11	1.1710218e-23	1.5647960e-36	2.9619408e-49	1.0334101e-61	8.6093801e-74	2.3747206e-85	3.1928893e-96	3.2124656e-106	3.7194690e-115	7.3295874e-123	3.1724145e-129	3.2988342e-134	7.3629065e-138	9.6089832e-141	3.3295626e-142	4.0006821e-143	9.1048181e-144	1.0550557e+03
1.301e-02	1.0282158e+03	8.2880272e-11	1.1209055e-23	1.4956696e-36	2.8314193e-49	9.8846719e-62	8.2405351e-74	2.2743609e-85	3.0594568e-96	3.0793614e-106	3.5662663e-115	7.0289906e-123	3.0426325e-129	3.1640677e-134	7.0623332e-138	9.2168659e-141	3.1937110e-142	3.8374657e-143	8.7333703e-144	1.0282158e+03
1.369e-02	1.0017136e+03	7.9718968e-11	1.0727872e-23	1.4296977e-36	2.7072319e-49	9.4577082e-62	7.8904205e-74	2.1791466e-85	2.9329091e-96	2.9531551e-106	3.4210670e-115	6.7440463e-123	2.9196166e-129	3.0363321e-134	6.7774436e-138	8.8452125e-141	3.0649490e-142	3.6827635e-143	8.3812993e-144	1.0017136e+03
1.441e-02	9.7556682e+02	7.6653236e-11	1.0266200e-23	1.3667683e-36	2.5891124e-49	9.0521945e-62	7.5581638e-74	2.0888350e-85	2.8129203e-96	2.8335204e-106	3.2834506e-115	6.4740150e-123	2.8030477e-129	2.9152959e-134	6.5074988e-138	8.4930593e-141	2.9429420e-142	3.5361758e-143	8.0476948e-144	9.7556682e+02
1.517e-02	9.4979150e+02	7.3682659e-11	9.8235499e-24	1.3067695e-36	2.4768015e-49	8.6671535e-62	7.2429304e-74	2.0031952e-85	2.6991807e-96	2.7201473e-106	3.1530608e-115	6.2181970e-123	2.6926235e-129	2.8006449e-134	6.2517990e-138	8.1594930e-141	2.8273744e-142	3.3973232e-143	7.7316945e-144	9.4979150e+02
1.597e-02	9.2440197e+02	7.0806597e-11	9.3994133e-24	1.2495907e-36	2.3700476e-49	8.3016472e-62	6.9439238e-74	1.9220072e-85	2.5913966e-96	2.6127423e-106	3.0295688e-115	5.9759297e-123	2.5880575e-129	2.6920820e-134	6.0096820e-138	7.8436501e-141	2.7179469e-142	3.2658470e-143	7.4324817e-144	9.2440197e+02
