# Magic number=05072024, 05 July 2024, PCS
# Single electron capture cross sections, n state-selective
# Fe^25+ + H -> Fe^24+ + H^+
# Method=MCLZ
# P. C. Stancil et al. 2024, to be submitted
# ----------------------------------------------------------------------------
# Energy		Cross sections (10^-16 cm^2)
# (eV/u)       	n=20          	n=19          	n=18          	n=17          	n=16          	n=15          	n=14          	n=13          	n=12          	n=11          	n=10          	n=9           	n=8           	n=7           	n=6           	n=5           	n=4           	n=3           	n=2           	n=1           	Total
3.607e-03	4.8855135e+01	3.9456305e-12	3.5501106e-25	4.0253063e-38	6.8024096e-51	2.1407708e-63	1.6699669e-75	4.5929447e-87	6.7256927e-98	8.2253992e-108	1.3113817e-116	3.9966649e-124	2.9699584e-130	5.6462794e-135	2.3035299e-138	8.6250259e-141	2.9580050e-142	3.4677018e-143	7.8905665e-144	7.8709256e-145	4.8855135e+01
3.797e-03	4.6414548e+01	3.7503177e-12	3.3758274e-25	3.8291531e-38	6.4730756e-51	2.0377031e-63	1.5899391e-75	4.3736657e-87	6.4055201e-98	7.8346680e-108	1.2503620e-116	3.8103829e-124	2.8313829e-130	5.3826527e-135	2.1945108e-138	8.2231926e-141	2.8183320e-142	3.3066447e-143	7.5170776e-144	7.4983674e-145	4.6414548e+01
3.996e-03	4.5601851e+01	3.6440002e-12	3.2557277e-25	3.6754349e-38	6.1953163e-51	1.9469620e-63	1.5176614e-75	4.1725495e-87	6.1090839e-98	7.4707796e-108	1.1921651e-116	3.6328039e-124	2.6993221e-130	5.1285650e-135	2.0923173e-138	7.8397010e-141	2.6874098e-142	3.1505968e-143	7.1690055e-144	7.1500057e-145	4.5601851e+01
4.207e-03	4.4774432e+01	3.5380052e-12	3.1376670e-25	3.5258375e-38	5.9269163e-51	1.8597094e-63	1.4483953e-75	3.9802488e-87	5.8260702e-98	7.1237176e-108	1.1366960e-116	3.4636217e-124	2.5722573e-130	4.8899972e-135	1.9949580e-138	7.4713218e-141	2.5625855e-142	3.0046987e-143	6.8370174e-144	6.8179664e-145	4.4774432e+01
4.428e-03	4.3934546e+01	3.4325728e-12	3.0218421e-25	3.3805048e-38	5.6679480e-51	1.7759160e-63	1.3820843e-75	3.7965365e-87	5.5560695e-98	6.7883042e-108	1.0832688e-116	3.3010074e-124	2.4527956e-130	4.6628128e-135	1.9014097e-138	7.1247714e-141	2.4424657e-142	2.8656377e-143	6.5205883e-144	6.4982973e-145	4.3934546e+01
4.661e-03	4.1740397e+01	3.2630666e-12	2.8741360e-25	3.2167708e-38	5.3956173e-51	1.6911740e-63	1.3165136e-75	3.6172511e-87	5.2946351e-98	6.4741267e-108	1.0330854e-116	3.1480052e-124	2.3390703e-130	4.4465688e-135	1.8133652e-138	6.7948117e-141	2.3295677e-142	2.7317510e-143	6.2159377e-144	6.1979070e-145	4.1740397e+01
4.907e-03	4.0932821e+01	3.1636980e-12	2.7664377e-25	3.0829112e-38	5.1586483e-51	1.6148364e-63	1.2562794e-75	3.4506952e-87	5.0501566e-98	6.1748384e-108	9.8530554e-117	3.0023804e-124	2.2308514e-130	4.2395215e-135	1.7295692e-138	6.4805815e-141	2.2220793e-142	2.6059502e-143	5.9296823e-144	5.9119146e-145	4.0932821e+01
5.165e-03	4.0117359e+01	3.0652637e-12	2.6611623e-25	2.9532777e-38	4.9306147e-51	1.5416863e-63	1.1987185e-75	3.2918129e-87	4.8172075e-98	5.8898732e-108	9.3983361e-117	2.8638310e-124	2.1273372e-130	4.0441262e-135	1.6498483e-138	6.1802941e-141	2.1197721e-142	2.4861814e-143	5.6571535e-144	5.6397519e-145	4.0117359e+01
5.437e-03	3.9295830e+01	2.9679378e-12	2.5584265e-25	2.8279170e-38	4.7114400e-51	1.4716578e-63	1.1437545e-75	3.1403446e-87	4.5953568e-98	5.6186617e-108	8.9630586e-117	2.7313808e-124	2.0295776e-130	3.8582845e-135	1.5736591e-138	5.8965963e-141	2.0219106e-142	2.3722071e-143	5.3959508e-144	5.3793534e-145	3.9295830e+01
5.723e-03	3.7334036e+01	2.8218121e-12	2.4340414e-25	2.6919731e-38	4.4871895e-51	1.4022073e-63	1.0901630e-75	2.9940489e-87	4.3822346e-98	5.3589395e-108	8.5522513e-117	2.6062447e-124	1.9366172e-130	3.6815832e-135	1.5016606e-138	5.6268051e-141	1.9295044e-142	2.2631578e-143	5.1496762e-144	5.1334967e-145	3.7334036e+01
6.025e-03	3.6549580e+01	2.7306021e-12	2.3389912e-25	2.5770057e-38	4.2873526e-51	1.3385963e-63	1.0403543e-75	2.8569931e-87	4.1816834e-98	5.1139139e-108	8.1615743e-117	2.4872679e-124	1.8482448e-130	3.5130573e-135	1.4332093e-138	5.3702246e-141	1.8416325e-142	2.1602071e-143	4.9154169e-144	4.8997063e-145	3.6549580e+01
6.342e-03	3.5762521e+01	2.6407290e-12	2.2465165e-25	2.4661161e-38	4.0956858e-51	1.2778021e-63	9.9285600e-76	2.7264714e-87	3.9908536e-98	4.8808868e-108	7.7901493e-117	2.3741771e-124	1.7642547e-130	3.3535658e-135	1.3681478e-138	5.1264631e-141	1.7580906e-142	2.0623127e-143	4.6926636e-144	4.6774560e-145	3.5762521e+01
6.676e-03	3.4974303e+01	2.5523131e-12	2.1566739e-25	2.3592857e-38	3.9120279e-51	1.2197424e-63	9.4758615e-76	2.6022268e-87	3.8093378e-98	4.6593361e-108	7.4371178e-117	2.2667056e-124	1.6842596e-130	3.2020011e-135	1.3063224e-138	4.8943106e-141	1.6784628e-142	1.9692546e-143	4.4809154e-144	4.4662311e-145	3.4974303e+01
7.027e-03	3.4186271e+01	2.4654614e-12	2.0695046e-25	2.2564795e-38	3.7361970e-51	1.1643309e-63	9.0446201e-76	2.4840035e-87	3.6367355e-98	4.4487518e-108	7.1016457e-117	2.1643737e-124	1.6084854e-130	3.0579999e-135	1.2474656e-138	4.6743701e-141	1.6030851e-142	1.8805478e-143	4.2790694e-144	4.2650471e-145	3.4186271e+01
7.397e-03	3.3399689e+01	2.3802676e-12	1.9850354e-25	2.1576483e-38	3.5679944e-51	1.1114787e-63	8.6340050e-76	2.3715491e-87	3.4726551e-98	4.2486379e-108	6.7822330e-117	2.0674294e-124	1.5365023e-130	2.9212108e-135	1.1917003e-138	4.4654293e-141	1.5314671e-142	1.7965876e-143	4.0880230e-144	4.0745062e-145	3.3399689e+01
7.787e-03	3.1733407e+01	2.2637588e-12	1.8895392e-25	2.0554476e-38	3.4012925e-51	1.0601605e-63	8.2393096e-76	2.2640068e-87	3.3161647e-98	4.0580626e-108	6.4796501e-117	1.9753446e-124	1.4681332e-130	2.7912956e-135	1.1387332e-138	4.2669480e-141	1.4634360e-142	1.7168211e-143	3.9065193e-144	3.8935095e-145	3.1733407e+01
8.197e-03	3.0988789e+01	2.1845213e-12	1.8119107e-25	1.9653152e-38	3.2486114e-51	1.0123186e-63	7.8682301e-76	2.1624800e-87	3.1681180e-98	3.8775717e-108	6.1922507e-117	1.8878914e-124	1.4032075e-130	2.6677988e-135	1.0884330e-138	4.0784968e-141	1.3988232e-142	1.6410557e-143	3.7341203e-144	3.7216132e-145	3.0988789e+01
8.628e-03	3.0247707e+01	2.1070024e-12	1.7368621e-25	1.8788309e-38	3.1027647e-51	9.6673566e-64	7.5151900e-76	2.0659705e-87	3.0274577e-98	3.7061376e-108	5.9193230e-117	1.8048511e-124	1.3415622e-130	2.5507030e-135	1.0406736e-138	3.8995656e-141	1.3374726e-142	1.5691060e-143	3.5704033e-144	3.5583901e-145	3.0247707e+01
9.083e-03	2.9511128e+01	2.0312586e-12	1.6643857e-25	1.7959180e-38	2.9635345e-51	9.2332496e-64	7.1794266e-76	1.9742546e-87	2.8938446e-98	3.5433371e-108	5.6601835e-117	1.7260141e-124	1.2830407e-130	2.4395382e-135	9.9533412e-139	3.7295858e-141	1.2791732e-142	1.5007931e-143	3.4147734e-144	3.4034304e-145	2.9511128e+01
9.561e-03	2.8779946e+01	1.9573365e-12	1.5944649e-25	1.7164922e-38	2.8306982e-51	8.8200037e-64	6.8601942e-76	1.8871155e-87	2.7669518e-98	3.3887638e-108	5.4141778e-117	1.6511798e-124	1.2274621e-130	2.3340216e-135	9.5229917e-139	3.5683871e-141	1.2239005e-142	1.4358837e-143	3.2672657e-144	3.2562331e-145	2.8779946e+01
1.006e-02	2.8054987e+01	1.8852738e-12	1.5270752e-25	1.6404639e-38	2.7040305e-51	8.4267677e-64	6.5567657e-76	1.8043438e-87	2.6464650e-98	3.2420283e-108	5.1806803e-117	1.5801567e-124	1.1747550e-130	2.2338833e-135	9.1143917e-139	3.4154021e-141	1.1714416e-142	1.3743536e-143	3.1272582e-144	3.1166684e-145	2.8054987e+01
1.059e-02	2.7337008e+01	1.8150997e-12	1.4621850e-25	1.5677385e-38	2.5833049e-51	8.0527056e-64	6.2684359e-76	1.7257379e-87	2.5320829e-98	3.1027584e-108	4.9590935e-117	1.5127623e-124	1.1247416e-130	2.1388659e-135	8.7269275e-139	3.2702389e-141	1.1216629e-142	1.3159641e-143	2.9943970e-144	2.9842345e-145	2.7337008e+01
1.115e-02	2.6626707e+01	1.7468357e-12	1.3997563e-25	1.4982182e-38	2.4682958e-51	7.6969995e-64	5.9945223e-76	1.6511039e-87	2.4235172e-98	2.9705988e-108	4.7488480e-117	1.4488024e-124	1.0772932e-130	2.0487242e-135	8.3593407e-139	3.1325240e-141	1.0744367e-142	1.2605664e-143	2.8683436e-144	2.8585921e-145	2.6626707e+01
1.174e-02	2.5924718e+01	1.6804959e-12	1.3397459e-25	1.4318025e-38	2.3587795e-51	7.3588520e-64	5.7343665e-76	1.5802556e-87	2.3204922e-98	2.8452102e-108	4.5494018e-117	1.3881577e-124	1.0322871e-130	1.9632250e-135	8.0106827e-139	3.0018986e-141	1.0296418e-142	1.2080189e-143	2.7487756e-144	2.7394180e-145	2.5924718e+01
1.236e-02	2.5231621e+01	1.6160879e-12	1.2821059e-25	1.3683892e-38	2.2545350e-51	7.0374893e-64	5.4873347e-76	1.5130153e-87	2.2227448e-98	2.7262703e-108	4.3602390e-117	1.3306439e-124	9.8960678e-131	1.8821467e-135	7.6800517e-139	2.8780321e-141	9.8716250e-143	1.1581864e-143	2.6353856e-144	2.6264048e-145	2.5231621e+01
1.301e-02	2.4547938e+01	1.5536128e-12	1.2267844e-25	1.3078754e-38	2.1553455e-51	6.7321617e-64	5.2528186e-76	1.4492128e-87	2.1300247e-98	2.6134719e-108	4.1808344e-117	1.2761118e-124	9.4914167e-131	1.8052789e-135	7.3665912e-139	2.7605991e-141	9.4688886e-143	1.1109407e-143	2.5278814e-144	2.5192602e-145	2.4547938e+01
1.369e-02	2.3874141e+01	1.4930665e-12	1.1737264e-25	1.2501576e-38	2.0609990e-51	6.4421458e-64	5.0302352e-76	1.3886858e-87	2.0420932e-98	2.5065234e-108	4.0108031e-117	1.2244204e-124	9.1078668e-131	1.7324220e-135	7.0694885e-139	2.6492950e-141	9.0871700e-143	1.0661596e-143	2.4259855e-144	2.4177069e-145	2.3874141e+01
1.441e-02	2.3210651e+01	1.4344394e-12	1.1228739e-25	1.1951329e-38	1.9712886e-51	6.1667446e-64	4.8190265e-76	1.3312797e-87	1.9587238e-98	2.4051476e-108	3.8496565e-117	1.1754354e-124	8.7444229e-131	1.6633868e-135	6.7879728e-139	2.5438312e-141	8.7254784e-143	1.0237275e-143	2.3294345e-144	2.3214818e-145	2.3210651e+01
1.517e-02	2.2557844e+01	1.3777174e-12	1.0741670e-25	1.1426994e-38	1.8860135e-51	5.9052886e-64	4.6186598e-76	1.2768472e-87	1.8797011e-98	2.3090823e-108	3.6969773e-117	1.1290297e-124	8.4001421e-131	1.5979941e-135	6.5213144e-139	2.4439343e-141	8.3828771e-143	9.8353464e-144	2.2379786e-144	2.2303358e-145	2.2557844e+01
1.597e-02	2.1916049e+01	1.3228821e-12	1.0275442e-25	1.0927561e-38	1.8049789e-51	5.6571350e-64	4.4286271e-76	1.2252485e-87	1.8048208e-98	2.2180785e-108	3.5523796e-117	1.0850834e-124	8.0741321e-131	1.5360746e-135	6.2688226e-139	2.3493455e-141	8.0584798e-143	9.4547713e-144	2.1513818e-144	2.1440329e-145	2.1916049e+01
1.681e-02	2.1285554e+01	1.2699113e-12	9.8294254e-26	1.0452040e-38	1.7279970e-51	5.4216689e-64	4.2484441e-76	1.1763508e-87	1.7338894e-98	2.1319005e-108	3.4154673e-117	1.0434825e-124	7.7655496e-131	1.4774679e-135	6.0298445e-139	2.2598203e-141	7.7514479e-143	9.0945675e-144	2.0694147e-144	2.0623502e-145	2.1285554e+01
1.770e-02	2.0666608e+01	1.2187794e-12	9.4029854e-26	9.9994620e-39	1.6548860e-51	5.1983023e-64	4.0776507e-76	1.1300279e-87	1.6667236e-98	2.0503257e-108	3.2859000e-117	1.0041198e-124	7.4735975e-131	1.4220228e-135	5.8037636e-139	2.1751277e-141	7.4609900e-143	8.7538070e-144	1.9918790e-144	1.9850770e-145	2.0666608e+01
1.863e-02	2.0059424e+01	1.1694578e-12	8.9954821e-26	9.5688775e-39	1.5854719e-51	4.9864742e-64	3.9158095e-76	1.0861607e-87	1.6031501e-98	1.9731434e-108	3.1633436e-117	9.6689369e-125	7.1975245e-131	1.3695965e-135	5.5899981e-139	2.0950496e-141	7.1863591e-143	8.4316139e-144	1.9185705e-144	1.9120147e-145	2.0059424e+01
1.961e-02	1.9464176e+01	1.1219153e-12	8.6062753e-26	9.1593645e-39	1.5195867e-51	4.7856497e-64	3.7625054e-76	1.0446359e-87	1.5430051e-98	1.9001552e-108	3.0474832e-117	9.3170932e-125	6.9366226e-131	1.3200546e-135	5.3880004e-139	2.0193812e-141	6.9268518e-143	8.1271637e-144	1.8492953e-144	1.8429760e-145	1.9464176e+01
2.064e-02	1.8881006e+01	1.0761183e-12	8.2347270e-26	8.7700270e-39	1.4570702e-51	4.5953201e-64	3.6173451e-76	1.0053468e-87	1.4861340e-98	1.8311738e-108	2.9380223e-117	8.9847553e-125	6.6902253e-131	1.2732708e-135	5.1972550e-139	1.9479291e-141	6.6818065e-143	7.8396801e-144	1.7838808e-144	1.7777850e-145	1.8881006e+01
2.173e-02	1.8310028e+01	1.0320312e-12	7.8802045e-26	8.3999970e-39	1.3977685e-51	4.4150014e-64	3.4799561e-76	9.6819270e-88	1.4323911e-98	1.7660232e-108	2.8346819e-117	8.6710858e-125	6.4577073e-131	1.2291263e-135	5.0172783e-139	1.8805125e-141	6.4506019e-143	7.5684346e-144	1.7221612e-144	1.7162763e-145	1.8310028e+01
2.287e-02	1.7751323e+01	9.8961662e-13	7.5420817e-26	8.0484360e-39	1.3415348e-51	4.2442347e-64	3.3499864e-76	9.3307834e-88	1.3816396e-98	1.7045379e-108	2.7372006e-117	8.3752925e-125	6.2384832e-131	1.1875098e-135	4.8476170e-139	1.8169614e-141	6.2326560e-143	7.3127446e-144	1.6639811e-144	1.6582953e-145	1.7751323e+01
2.408e-02	1.7540669e+01	9.5398350e-13	7.2197425e-26	7.7145353e-39	1.2882293e-51	4.0825846e-64	3.2271035e-76	8.9991428e-88	1.3337506e-98	1.6465626e-108	2.6453334e-117	8.0966343e-125	6.0320025e-131	1.1483175e-135	4.6878481e-139	1.7571173e-141	6.0274249e-143	7.0719722e-144	1.6091955e-144	1.6036970e-145	1.7540669e+01
2.535e-02	1.6991381e+01	9.1433496e-13	6.9205701e-26	7.3993522e-39	1.2377875e-51	3.9296931e-64	3.1110061e-76	8.6861749e-88	1.2886043e-98	1.5919524e-108	2.5588516e-117	7.8344202e-125	5.8377556e-131	1.1114523e-135	4.5375757e-139	1.7008323e-141	5.8344019e-143	6.8455231e-144	1.5576690e-144	1.5523469e-145	1.6991381e+01
2.668e-02	1.6455091e+01	8.7627771e-13	6.6269492e-26	7.0981606e-39	1.1899310e-51	3.7850509e-64	3.0013724e-76	8.3910667e-88	1.2460863e-98	1.5405723e-108	2.4775426e-117	7.5880073e-125	5.6552678e-131	1.0768245e-135	4.3964341e-139	1.6479694e-141	5.6531168e-143	6.6328456e-144	1.5092762e-144	1.5041197e-145	1.6455091e+01
2.808e-02	1.5931764e+01	8.3976744e-13	6.3474640e-26	6.8124351e-39	1.1446248e-51	3.6483593e-64	2.8979413e-76	8.1130948e-88	1.2060927e-98	1.4922961e-108	2.4012086e-117	7.3568013e-125	5.4841002e-131	1.0443508e-135	4.2640849e-139	1.5984016e-141	5.4831349e-143	6.4334301e-144	1.4639011e-144	1.4589000e-145	1.5931764e+01
2.956e-02	1.5421340e+01	8.0475950e-13	6.0815356e-26	6.5414820e-39	1.1017541e-51	3.5192713e-64	2.8004527e-76	7.8515713e-88	1.1685256e-98	1.4470076e-108	2.3296675e-117	7.1402536e-125	5.3238488e-131	1.0139548e-135	4.1402170e-139	1.5520128e-141	5.3240574e-143	6.2468080e-144	1.4214371e-144	1.4165814e-145	1.5421340e+01
